what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355199550955
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355199611601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355199612339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355199622691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355199625009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355199625858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355199626685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355199627616
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355199649758
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355199652254
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355199653136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355199656578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355199660483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355199674983
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355199675886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355199687587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355199803925
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355199803961
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1355199807392
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355199813340
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1355199813626
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355199818705
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1355199819071
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1355199819149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355199829903
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355199831639
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1355199833157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355199833216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355199834717
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1355199861532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1355199862010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1355199862813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1355199863199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355199867022
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355199868316
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1355199870263
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1355199902561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355199903980
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355199905161
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1355199907970
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1355199935400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355199938544
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355199939872
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1355199941381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355200025345
